id,name,time,place,association,publisher,publish_date,chief_editor,editors,link
96,2012年物理研讨会,2012-10-01,苏州,物理学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
97,2012年化学研讨会,2012-12-01,广州,化学学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
98,2012年计算机研讨会,2012-02-01,西安,计算机学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
99,2012年数学研讨会,2012-11-01,北京,数学学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
100,2012年心理研讨会,2012-02-01,深圳,心理学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
101,2012年教育研讨会,2012-10-01,上海,教育学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
102,2012年当代文学研讨会,2012-05-01,北京,当代文学学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
103,2012年比较文学研讨会,2012-10-01,深圳,比较文学学会,xxx 出版社,2013-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
104,2013年物理研讨会,2013-04-01,杭州,物理学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
105,2013年化学研讨会,2013-01-01,上海,化学学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
106,2013年计算机研讨会,2013-01-01,西安,计算机学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
107,2013年数学研讨会,2013-08-01,南京,数学学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
108,2013年心理研讨会,2013-04-01,南京,心理学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
109,2013年教育研讨会,2013-01-01,北京,教育学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
110,2013年当代文学研讨会,2013-02-01,杭州,当代文学学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
111,2013年比较文学研讨会,2013-01-01,广州,比较文学学会,xxx 出版社,2014-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
112,2014年物理研讨会,2014-07-01,上海,物理学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
113,2014年化学研讨会,2014-04-01,杭州,化学学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
114,2014年计算机研讨会,2014-04-01,苏州,计算机学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
115,2014年数学研讨会,2014-07-01,南京,数学学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
116,2014年心理研讨会,2014-06-01,上海,心理学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
117,2014年教育研讨会,2014-11-01,西安,教育学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
118,2014年当代文学研讨会,2014-03-01,北京,当代文学学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
119,2014年比较文学研讨会,2014-01-01,武汉,比较文学学会,xxx 出版社,2015-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
120,2015年物理研讨会,2015-01-01,北京,物理学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
121,2015年化学研讨会,2015-03-01,上海,化学学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
122,2015年计算机研讨会,2015-11-01,西安,计算机学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
123,2015年数学研讨会,2015-09-01,杭州,数学学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
124,2015年心理研讨会,2015-05-01,上海,心理学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
125,2015年教育研讨会,2015-04-01,西安,教育学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
126,2015年当代文学研讨会,2015-09-01,上海,当代文学学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
127,2015年比较文学研讨会,2015-10-01,广州,比较文学学会,xxx 出版社,2016-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
128,2016年物理研讨会,2016-10-01,北京,物理学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
129,2016年化学研讨会,2016-05-01,北京,化学学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
130,2016年计算机研讨会,2016-06-01,杭州,计算机学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
131,2016年数学研讨会,2016-09-01,杭州,数学学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
132,2016年心理研讨会,2016-11-01,上海,心理学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
133,2016年教育研讨会,2016-04-01,武汉,教育学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
134,2016年当代文学研讨会,2016-03-01,上海,当代文学学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
135,2016年比较文学研讨会,2016-01-01,广州,比较文学学会,xxx 出版社,2017-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
136,2017年物理研讨会,2017-12-01,广州,物理学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
137,2017年化学研讨会,2017-02-01,广州,化学学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
138,2017年计算机研讨会,2017-12-01,杭州,计算机学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
139,2017年数学研讨会,2017-03-01,南京,数学学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
140,2017年心理研讨会,2017-05-01,上海,心理学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
141,2017年教育研讨会,2017-01-01,苏州,教育学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
142,2017年当代文学研讨会,2017-09-01,广州,当代文学学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
143,2017年比较文学研讨会,2017-04-01,苏州,比较文学学会,xxx 出版社,2018-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
144,2018年物理研讨会,2018-10-01,苏州,物理学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
145,2018年化学研讨会,2018-02-01,武汉,化学学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
146,2018年计算机研讨会,2018-04-01,苏州,计算机学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
147,2018年数学研讨会,2018-02-01,广州,数学学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
148,2018年心理研讨会,2018-02-01,苏州,心理学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
149,2018年教育研讨会,2018-07-01,南京,教育学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
150,2018年当代文学研讨会,2018-10-01,杭州,当代文学学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
151,2018年比较文学研讨会,2018-04-01,广州,比较文学学会,xxx 出版社,2019-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
152,2019年物理研讨会,2019-03-01,深圳,物理学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
153,2019年化学研讨会,2019-10-01,广州,化学学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
154,2019年计算机研讨会,2019-05-01,西安,计算机学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
155,2019年数学研讨会,2019-04-01,上海,数学学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
156,2019年心理研讨会,2019-06-01,南京,心理学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
157,2019年教育研讨会,2019-05-01,武汉,教育学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
158,2019年当代文学研讨会,2019-12-01,深圳,当代文学学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
159,2019年比较文学研讨会,2019-08-01,苏州,比较文学学会,xxx 出版社,2020-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
160,2020年物理研讨会,2020-10-01,深圳,物理学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
161,2020年化学研讨会,2020-04-01,深圳,化学学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
162,2020年计算机研讨会,2020-08-01,苏州,计算机学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
163,2020年数学研讨会,2020-07-01,苏州,数学学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
164,2020年心理研讨会,2020-12-01,上海,心理学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
165,2020年教育研讨会,2020-05-01,杭州,教育学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
166,2020年当代文学研讨会,2020-10-01,杭州,当代文学学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
167,2020年比较文学研讨会,2020-12-01,杭州,比较文学学会,xxx 出版社,2021-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
168,2021年物理研讨会,2021-02-01,广州,物理学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
169,2021年化学研讨会,2021-01-01,深圳,化学学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
170,2021年计算机研讨会,2021-11-01,西安,计算机学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
171,2021年数学研讨会,2021-05-01,杭州,数学学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
172,2021年心理研讨会,2021-05-01,北京,心理学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
173,2021年教育研讨会,2021-06-01,杭州,教育学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
174,2021年当代文学研讨会,2021-10-01,广州,当代文学学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
175,2021年比较文学研讨会,2021-08-01,南京,比较文学学会,xxx 出版社,2022-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
176,2022年物理研讨会,2022-04-01,广州,物理学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
177,2022年化学研讨会,2022-07-01,广州,化学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
178,2022年计算机研讨会,2022-03-01,北京,计算机学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
179,2022年数学研讨会,2022-01-01,苏州,数学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
180,2022年心理研讨会,2022-05-01,苏州,心理学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
181,2022年教育研讨会,2022-10-01,苏州,教育学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
182,2022年当代文学研讨会,2022-01-01,武汉,当代文学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
183,2022年比较文学研讨会,2022-03-01,北京,比较文学学会,xxx 出版社,2023-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
184,2023年物理研讨会,2023-03-01,苏州,物理学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
185,2023年化学研讨会,2023-02-01,杭州,化学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
186,2023年计算机研讨会,2023-11-01,南京,计算机学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
187,2023年数学研讨会,2023-04-01,深圳,数学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
188,2023年心理研讨会,2023-05-01,武汉,心理学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
189,2023年教育研讨会,2023-08-01,杭州,教育学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
190,2023年当代文学研讨会,2023-02-01,深圳,当代文学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
191,2023年比较文学研讨会,2023-11-01,深圳,比较文学学会,xxx 出版社,2024-01-01,xxxxx,xxxxx xxxxx xxxxx xxxxx,www.xxx.com
